Табельный номер руководителя,id,Вид образования,Специальность
ОРГ1-02529,ОРГ1-02785,Повышение квалификации,
ОРГ1-02529,ОРГ1-01615,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-02169,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02529,ОРГ1-02169,Повышение квалификации,
ОРГ1-02529,ОРГ1-02169,Повышение квалификации,
ОРГ1-02529,ОРГ1-02169,Повышение квалификации,
ОРГ1-02529,ОРГ1-01578,Высшее образование,Финансы и кредит
ОРГ1-02529,ОРГ1-01578,Повышение квалификации,
ОРГ1-02529,ОРГ1-01578,Повышение квалификации,
ОРГ1-02529,ОРГ1-01578,Повышение квалификации,
ОРГ1-01806,ОРГ1-01806,Повышение квалификации,
ОРГ1-01806,ОРГ1-01806,Повышение квалификации,бухгалтерский учет в коммерческих организациях
ОРГ1-01806,ОРГ1-01806,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
ОРГ1-01806,ОРГ1-01806,Высшее образование,Экономика
ОРГ1-01806,ОРГ1-01806,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-01806,ОРГ1-01806,Повышение квалификации,
ОРГ1-01806,ОРГ1-01806,Повышение квалификации,
ОРГ1-01806,ОРГ1-01806,Повышение квалификации,
ОРГ1-01806,ОРГ1-01656,Высшее образование,Финансы и кредит
ОРГ1-01806,ОРГ1-01656,Повышение квалификации,
ОРГ1-01806,ОРГ1-01656,Повышение квалификации,
ОРГ1-01806,ОРГ1-02763,Высшее образование,Налоги и налогообложение
ОРГ1-01806,ОРГ1-02763,Повышение квалификации,Бухгалтерский учет
ОРГ1-01806,ОРГ1-02763,Повышение квалификации,
ОРГ1-01806,ОРГ1-01278,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-01806,ОРГ1-01278,Повышение квалификации,
ОРГ1-01806,ОРГ1-01278,Повышение квалификации,
ОРГ1-01120,ОРГ1-01120,Высшее образование,Юриспруденция
ОРГ1-01120,ОРГ1-01120,Повышение квалификации,Управление и развитие вертикально-интегрированной нефтегазовой компанией
ОРГ1-01120,ОРГ1-01120,Повышение квалификации,Финансы для молодых специалистов
ОРГ1-01120,ОРГ1-01120,Повышение квалификации,Новое договорное право России: актуальные вопросы толкования и применения новой редакции ГК РФ
ОРГ1-01120,ОРГ1-01120,Повышение квалификации,Международные контракты и сделки. Правовые и налоговые аспекты
,ОРГ1-00645,Высшее образование,Юриспруденция
,ОРГ1-01955,Высшее образование,Юриспруденция
,ОРГ1-02876,Высшее образование,Юриспруденция
ОРГ1-01328,ОРГ1-02615,Высшее образование,Юриспруденция
ОРГ1-01328,ОРГ1-02729,Высшее образование - бакалавриат,Юриспруденция
ОРГ1-01328,ОРГ1-01328,Высшее образование,Юриспруденция
,ОРГ1-01197,Высшее образование,Финансы и кредит
,ОРГ1-01197,Высшее образование,Юриспруденция
,ОРГ1-03227,Высшее образование - бакалавриат,Юриспруденция
,ОРГ1-01193,Высшее образование - бакалавриат,Юриспруденция
,ОРГ1-00677,Высшее образование,Финансы и кредит
,ОРГ1-01243,Высшее образование,Пожарная безопасность
,ОРГ1-01243,Высшее образование,Юриспруденция
,ОРГ1-01169,Высшее образование,Юриспруденция
,ОРГ1-00775,Высшее образование,Техносферная безопасность
,ОРГ1-00775,Высшее образование,Юриспруденция
,ОРГ1-00464,Высшее образование,Юриспруденция
ОРГ1-00677,ОРГ1-01387,Начальное профессиональное образование,"Экономика, бухгалтерский учет и контроль (по отраслям)"
ОРГ1-00677,ОРГ1-01387,Высшее образование,Финансы и кредит
ОРГ1-00677,ОРГ1-01387,Высшее образование,Юриспруденция
ОРГ1-00677,ОРГ1-02922,Высшее образование,Юриспруденция
ОРГ1-00677,ОРГ1-02938,Высшее образование - бакалавриат,Юриспруденция
ОРГ1-00677,ОРГ1-03209,Среднее профессиональное образование,Правоохранительная деятельность
ОРГ1-00677,ОРГ1-02672,Среднее профессиональное образование,Право и организация социального обеспечения
ОРГ1-00677,ОРГ1-02672,Высшее образование - бакалавриат,Юриспруденция
,ОРГ1-02798,Высшее образование - бакалавриат,Юриспруденция
,ОРГ1-03228,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
,ОРГ1-03228,Высшее образование,Юриспруденция
ОРГ1-00531,ОРГ1-00693,Высшее образование - бакалавриат,Экономика
ОРГ1-00531,ОРГ1-00693,Высшее образование,Экономика
ОРГ1-00531,ОРГ1-00693,Переподготовка,Проектирование и эксплуатация газонефтепроводов и газонефтехранилищ
ОРГ1-00531,ОРГ1-00826,Высшее образование,Машины и аппараты химических производств
ОРГ1-00531,ОРГ1-02127,Высшее образование,Водоснабжение и водоотведение
ОРГ1-00531,ОРГ1-02776,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ1-00531,ОРГ1-02776,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00531,ОРГ1-00706,Высшее образование,Защита в чрезвычайных ситуациях
ОРГ1-00531,ОРГ1-00531,Высшее образование,"Проектирование, сооружение и эксплуатация г/н проводов и г/н хранилищ"
ОРГ1-00342,ОРГ1-00679,Высшее образование,Основные процессы химических производств и химическая кибернетика
ОРГ1-00342,ОРГ1-00342,Высшее образование,Основные процессы химических производств и химическая кибернетика
ОРГ1-00342,ОРГ1-00342,,Технологические решения
ОРГ1-00161,ОРГ1-01456,Высшее образование,Биотехнология
ОРГ1-00161,ОРГ1-02109,"Высшее образование - специалитет, магистратура",Химическая технология
ОРГ1-00161,ОРГ1-00408,Высшее образование,Химическая технология и биотехнология
ОРГ1-00161,ОРГ1-00408,Высшее образование,Химическая технология
ОРГ1-00161,ОРГ1-00740,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-00161,ОРГ1-02011,Высшее образование - бакалавриат,Химическая технология
ОРГ1-00161,ОРГ1-00161,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-00161,ОРГ1-00065,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-01003,ОРГ1-02718,Высшее образование,география
ОРГ1-01003,ОРГ1-02718,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-01003,ОРГ1-00701,Высшее образование,Основные процессы химических производств и химическая кибернетика
ОРГ1-01003,ОРГ1-02962,Переподготовка,Переводчик в сфере профессиональной коммуникации
ОРГ1-01003,ОРГ1-02962,Высшее образование,Химическая технология органических веществ
ОРГ1-01003,ОРГ1-01003,Высшее образование,Основные процессы химических производств и химическая кибернетика
ОРГ1-01003,ОРГ1-02152,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-01003,ОРГ1-00692,Высшее образование,Технология основного  органического и нефтехимического систеза
ОРГ1-01310,ОРГ1-02539,Высшее образование,Технологические машины и оборудование
ОРГ1-01310,ОРГ1-02545,Среднее профессиональное образование,Оборудование и технология сварочного производства
ОРГ1-01310,ОРГ1-02544,Среднее профессиональное образование,Технология машиностроения
ОРГ1-01310,ОРГ1-02543,Среднее профессиональное образование,Техническое обслуживание и ремонт промышленного оборудования
ОРГ1-01310,ОРГ1-00442,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-01310,ОРГ1-00442,,Переводчик в сфере профессиональной коммуникации
ОРГ1-01310,ОРГ1-02540,Среднее профессиональное образование,Экономика и бухгалтерский учет
ОРГ1-01310,ОРГ1-02540,Высшее образование - бакалавриат,"Бухгалтерский учет, анализ и аудит"
ОРГ1-01310,ОРГ1-02541,Среднее профессиональное образование,Оборудование швейных предприятий
ОРГ1-01310,ОРГ1-02542,Начальное профессиональное образование,
ОРГ1-01310,ОРГ1-02542,Среднее профессиональное образование,Монтаж и техническая эксплуатация промышленного оборудования
ОРГ1-01310,ОРГ1-02546,Среднее профессиональное образование,Охрана окружающей среды и рациональное использование природных ресурсов
ОРГ1-01310,ОРГ1-01310,Высшее образование,Химическая технология переработки нефти и газа
,ОРГ1-01779,Высшее образование - бакалавриат,Химическая технология
,ОРГ1-01779,"Высшее образование - специалитет, магистратура",Химическая технология
,ОРГ1-01779,Аспирантура,Химическая технология
,ОРГ1-01405,Высшее образование - бакалавриат,Химическая технология
,ОРГ1-01405,Высшее образование,Химическая технология
,ОРГ1-01780,Высшее образование - бакалавриат,Химическая технология
,ОРГ1-01780,"Высшее образование - специалитет, магистратура",Химическая технология
ОРГ1-00148,ОРГ1-02781,Высшее образование,Машины и аппараты химических производств
ОРГ1-00148,ОРГ1-00081,Высшее образование,Автоматизация технологических процессов и производств (в машиностроении)
ОРГ1-00148,ОРГ1-00148,Высшее образование,
ОРГ1-00148,ОРГ1-02547,Высшее образование - бакалавриат,"Гидравлическая, вакуумная и компрессорная техника"
ОРГ1-00657,ОРГ1-00657,Высшее образование,"Проектирование и эксплуатация газонефтепроводов, газохранилищ и нефтебаз"
ОРГ1-01591,ОРГ1-01591,Высшее образование,Оборудование нефтегазопереработки
ОРГ1-01591,ОРГ1-01302,Высшее образование - бакалавриат,Энергомашиностроение
ОРГ1-01591,ОРГ1-01302,Высшее образование,"Гидравлические машины, гидроприводы и гидропневмоавтоматика"
ОРГ1-01591,ОРГ1-01302,,Промышленная безопасность
ОРГ1-00724,ОРГ1-03064,Высшее образование,Оборудование и технология сварочного производства
ОРГ1-00724,ОРГ1-00724,Высшее образование - бакалавриат,Технологические машины и оборудование
ОРГ1-00724,ОРГ1-00724,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
ОРГ1-00724,ОРГ1-02964,Высшее образование,Оборудование нефтегазопереработки
ОРГ1-00670,ОРГ1-01826,Высшее образование,"Гидравлические машины, гидроприводы и гидропневмоавтоматика"
ОРГ1-00670,ОРГ1-01826,Повышение квалификации,
ОРГ1-00670,ОРГ1-02762,Высшее образование,Оборудование нефтегазопереработки
ОРГ1-00670,ОРГ1-01287,Высшее образование,Авиационные приборы и измерительно вычислительные комплексы
ОРГ1-00670,ОРГ1-00670,Среднее профессиональное образование,Авиационные двигатели
ОРГ1-00670,ОРГ1-00670,Высшее образование,Оборудование нефтегазопереработки
ОРГ1-00335,ОРГ1-00335,Высшее образование,Электрификация и автоматизация сельского хозяйства
ОРГ1-00335,ОРГ1-00335,Повышение квалификации,"Безопасность строительства. Организация строительства, реконструкции и капитального ремонта"
ОРГ1-00335,ОРГ1-00335,Повышение квалификации,Безопасность строительства и осуществление строительного контроля
ОРГ1-01461,ОРГ1-02150,Высшее образование,Электрооборудование летательных аппаратов
ОРГ1-01461,ОРГ1-00564,Высшее образование,Тепловые электрические станции
ОРГ1-01461,ОРГ1-00564,Повышение квалификации,"Внутренние инженерные системы отопления, вентиляции, теплогазоснабжения, водоснабжения и водоотведен"
ОРГ1-01461,ОРГ1-02834,Высшее образование - бакалавриат,авиа-и ракетостроение
ОРГ1-01461,ОРГ1-02834,"Высшее образование - специалитет, магистратура",авиа-и ракетостроение
ОРГ1-01461,ОРГ1-02750,Высшее образование,Электрификация и автоматизация горных работ
ОРГ1-01461,ОРГ1-00884,Высшее образование,Теплоэнергетика
ОРГ1-01461,ОРГ1-00884,Высшее образование,Энергообеспечение предприятий
ОРГ1-01461,ОРГ1-01856,"Высшее образование - специалитет, магистратура",Электроэнергетические системы и сети
ОРГ1-01461,ОРГ1-01461,Высшее образование,Электротехнологические установки и системы
ОРГ1-02759,ОРГ1-01379,Высшее образование,Автоматизация и комплексная механизация химико-технологических процессов
ОРГ1-02759,ОРГ1-01379,Повышение квалификации,Поверка механических СИ
ОРГ1-02759,ОРГ1-01379,Повышение квалификации,Встроенные микропроцессорные системы
ОРГ1-02759,ОРГ1-01379,Повышение квалификации,Автоматизация предприятий нефтепереработки и нефтехимии
ОРГ1-02759,ОРГ1-01379,Повышение квалификации,Распределенная Система Управления CENTUM CS3000 Инженерный курс
ОРГ1-02759,ОРГ1-02046,Высшее образование,Автоматизация технологических процессов и производств (по отраслям)
ОРГ1-02759,ОРГ1-00963,Высшее образование,Автоматизация и комплексная механизация химико-технологических процессов
ОРГ1-02759,ОРГ1-02961,Высшее образование - бакалавриат,Инфокоммуникационные технологии и системы связи
ОРГ1-02759,ОРГ1-02759,Высшее образование,Автоматизация технологических процессов и производств (в нефтепереработке и нефтехимии)
ОРГ1-02161,ОРГ1-02161,Высшее образование,Экономика и управление аграрным производством
ОРГ1-02161,ОРГ1-02161,Переподготовка,
,ОРГ1-01805,"Высшее образование - специалитет, магистратура",Магистр химии
,ОРГ1-01805,"Высшее образование - специалитет, магистратура",Техносферная безопасность
,ОРГ1-01805,Повышение квалификации,
,ОРГ1-01270,Высшее образование,Лечебное дело
,ОРГ1-01270,Повышение квалификации,Стратегический менеджмент
,ОРГ1-01102,Высшее образование,Лечебное дело
,ОРГ1-01102,Повышение квалификации,Терапия
,ОРГ1-01102,Повышение квалификации,Эндокринология
,ОРГ1-01102,Повышение квалификации,Диетология
,ОРГ1-01102,Повышение квалификации,Терапия
,ОРГ1-02166,Высшее образование,Пожарная безопасность
,ОРГ1-02166,Переподготовка,"Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ"
,ОРГ1-03099,Высшее образование - бакалавриат,Политология
,ОРГ1-00560,Высшее образование,
,ОРГ1-00560,,Специалист по промышленной безопасности и охране труда в нефтегазовой отрасли
,ОРГ1-00560,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
,ОРГ1-00560,,Обеспечение экологической безопасности руководителями и специалистами экологических служб
,ОРГ1-00966,Высшее образование,Юриспруденция
,ОРГ1-00966,Повышение квалификации,Профессиональная подготовка лиц на право работы с опасными отходами
,ОРГ1-00966,Повышение квалификации,
,ОРГ1-00966,Повышение квалификации,
,ОРГ1-00966,Повышение квалификации,
,ОРГ1-03140,Высшее образование,Безопасность технологических процессов и производств
ОРГ1-01184,ОРГ1-01184,Высшее образование,география
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,Право работы с опасными отходами
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,Обеспечение экологической безопасности общехозяйственных систем управления
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,Обеспечение экологической безопасности при работах в области обращения с опасными отходами
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,ПДВ Эколог
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,Обеспечение экологической безопасности общехозяйственных систем управления
ОРГ1-01184,ОРГ1-01184,Повышение квалификации,
ОРГ1-01184,ОРГ1-03158,Повышение квалификации,
ОРГ1-01184,ОРГ1-03158,Повышение квалификации,
ОРГ1-01184,ОРГ1-03158,Высшее образование,"Водоснабжение, канализация,рациональное использование и охрана водных ресурсов"
ОРГ1-02511,ОРГ1-02511,Высшее образование,Промышленное и гражданское строительство
ОРГ1-02511,ОРГ1-02511,Повышение квалификации,
ОРГ1-00850,ОРГ1-01043,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ1-00850,ОРГ1-00983,Высшее образование,Земельный кадастр
ОРГ1-00850,ОРГ1-00971,Высшее образование,Авиационное приборостроение
ОРГ1-00850,ОРГ1-00850,Высшее образование,Авиационное приборостроение
ОРГ1-00850,ОРГ1-00850,,
ОРГ1-00850,ОРГ1-00912,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз"
ОРГ1-00850,ОРГ1-01517,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз"
ОРГ1-00850,ОРГ1-01096,Среднее профессиональное образование,Правоведение
ОРГ1-00850,ОРГ1-01096,Высшее образование,Международные отношения
ОРГ1-00850,ОРГ1-01114,Высшее образование,Водоснабжение и водоотведение
ОРГ1-00850,ОРГ1-01114,,Экологическая безопасность
ОРГ1-00850,ОРГ1-01012,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз"
ОРГ1-00850,ОРГ1-00615,Высшее образование,экономика и управление на предприятии
ОРГ1-00850,ОРГ1-00615,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
ОРГ1-00850,ОРГ1-00615,,Система менеджмента качества по ИСО 9001:2008
ОРГ1-00850,ОРГ1-00615,Повышение квалификации,
ОРГ1-01682,ОРГ1-03039,Среднее профессиональное образование,Право и организация социального обеспечения
ОРГ1-01682,ОРГ1-01682,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
ОРГ1-01682,ОРГ1-01682,Повышение квалификации,инженер по охране труда
ОРГ1-01682,ОРГ1-01682,Высшее образование - бакалавриат,Техносферная безопасность
ОРГ1-01682,ОРГ1-01682,Повышение квалификации,"ISO 9001:2015. Как подготовиться к аудиту СМК и что ожидать от аудиторов: превентивные меры,"
ОРГ1-01682,ОРГ1-01787,Высшее образование,История
ОРГ1-03138,ОРГ1-02195,Высшее образование,Менеджмент организации
ОРГ1-03138,ОРГ1-02195,Повышение квалификации,
ОРГ1-03138,ОРГ1-02195,Повышение квалификации,
ОРГ1-03138,ОРГ1-02195,"Высшее образование - специалитет, магистратура",Промышленное и гражданское строительство
ОРГ1-03138,ОРГ1-02195,Повышение квалификации,
ОРГ1-03138,ОРГ1-02195,Повышение квалификации,
ОРГ1-03138,ОРГ1-03138,Высшее образование,Управление качеством
ОРГ1-03138,ОРГ1-03138,Повышение квалификации,Строительные материалы. работы (услуги)
ОРГ1-03138,ОРГ1-02250,Высшее образование - бакалавриат,Бакалавр техники и технологий
ОРГ1-03138,ОРГ1-02250,Высшее образование,Управление качеством
ОРГ1-03138,ОРГ1-02250,Повышение квалификации,
ОРГ1-03138,ОРГ1-02250,Повышение квалификации,
ОРГ1-03138,ОРГ1-01727,"Высшее образование - специалитет, магистратура",Управление качеством
ОРГ1-03138,ОРГ1-01727,Повышение квалификации,"ISO 9001:2015. Как подготовиться к аудиту СМК и что ожидать от аудиторов: превентивные меры,"
ОРГ1-03138,ОРГ1-01727,Повышение квалификации,
ОРГ1-03138,ОРГ1-01727,Повышение квалификации,
ОРГ1-03138,ОРГ1-00639,Высшее образование,Организация и технология защиты информации
ОРГ1-03138,ОРГ1-00639,Повышение квалификации,
ОРГ1-03138,ОРГ1-00639,Переподготовка,Специалист по процессному управлению
ОРГ1-00923,ОРГ1-01920,Высшее образование,Энергообеспечение предприятий
ОРГ1-00923,ОРГ1-02096,Высшее образование,Машины и аппараты химических производств
ОРГ1-00923,ОРГ1-00923,Высшее образование - бакалавриат,"Техника и технология по направлению ""Строительство"""
ОРГ1-00923,ОРГ1-00923,Высшее образование,"Техника и технология по направлению ""Строительство"""
ОРГ1-00923,ОРГ1-01802,Высшее образование,Строительство
ОРГ1-00923,ОРГ1-01802,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00923,ОРГ1-01802,Высшее образование,Строительство
ОРГ1-00923,ОРГ1-00499,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
,ОРГ1-03226,Высшее образование - бакалавриат,Бакалавр экономики
,ОРГ1-03226,Высшее образование,Менеджмент
,ОРГ1-03226,Переподготовка,Специалист по охране труда
,ОРГ1-03226,Повышение квалификации,"Создание, поддержание и улучшение систем менеджмента качества на основе ISO 9001:2015-новые требования, перспективы практики применения"
,ОРГ1-03203,Высшее образование,Педагогика и психология
,ОРГ1-03203,Переподготовка,Организационное консультирование и управление персоналом
,ОРГ1-03203,Повышение квалификации,Управление проектами
,ОРГ1-00561,Высшее образование,экономика и управление на предприятии
,ОРГ1-00561,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
,ОРГ1-03225,Высшее образование,Социальная педагогика
,ОРГ1-03225,Повышение квалификации,"Практические психологи управлений внутренних дел, отделов внутренних дел"
,ОРГ1-03188,Среднее профессиональное образование,Инструментальное исполнительство
,ОРГ1-03188,Высшее образование,Музыкальное образование
,ОРГ1-03188,Переподготовка,Управление HR-подразделением
,ОРГ1-03188,Повышение квалификации,Управление персоналом и личная эффективность руководителя
,ОРГ1-03188,Повышение квалификации,Лидеры Производительности
ОРГ1-01773,ОРГ1-01748,Высшее образование,Управление персоналом
ОРГ1-01773,ОРГ1-01748,Повышение квалификации,
ОРГ1-01773,ОРГ1-01748,Повышение квалификации,
ОРГ1-01773,ОРГ1-03072,"Высшее образование - специалитет, магистратура",Социально-экономическое образование
ОРГ1-01773,ОРГ1-01773,"Высшее образование - специалитет, магистратура",Филология
ОРГ1-01773,ОРГ1-02702,Высшее образование,Государственное и муниципальное управление
ОРГ1-01773,ОРГ1-02702,"Высшее образование - специалитет, магистратура",Психология
ОРГ1-01773,ОРГ1-01428,Высшее образование,Связи с общественностью
ОРГ1-01773,ОРГ1-02833,Высшее образование,Государственное и муниципальное управление
ОРГ1-00343,ОРГ1-00343,Высшее образование,Бурение нефтяных и газовых скважин
ОРГ1-00343,ОРГ1-00343,Высшее образование,Юриспруденция
ОРГ1-00343,ОРГ1-00343,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
ОРГ1-00343,ОРГ1-00343,,Руководство кадровой службой. Кадровое делопроизводство и трудовое законодательство.
ОРГ1-00655,ОРГ1-02655,Высшее образование,Связи с общественностью
ОРГ1-00655,ОРГ1-02655,Повышение квалификации,Испектор по кадрам
ОРГ1-00655,ОРГ1-02184,Высшее образование,география
ОРГ1-00655,ОРГ1-02184,Переподготовка,
ОРГ1-00655,ОРГ1-02830,Среднее профессиональное образование,Бюджетный учет
ОРГ1-00655,ОРГ1-02830,Высшее образование,Юриспруденция
ОРГ1-00655,ОРГ1-03187,Среднее профессиональное образование,Автоматизированные системы обработки информации и управления
ОРГ1-00655,ОРГ1-03187,Высшее образование,Бухгалтерский учет и аудит
ОРГ1-00655,ОРГ1-03187,Переподготовка,Современные технологии управления персоналом
ОРГ1-00655,ОРГ1-03187,Повышение квалификации,Начальник отдела труда и заработной платы
ОРГ1-00655,ОРГ1-00655,Высшее образование,Специалист книжного дела
ОРГ1-00655,ОРГ1-00655,Повышение квалификации,Руководство кадровой службой. Кадровое делопроизводство и трудовое законодательство.
ОРГ1-00655,ОРГ1-02196,Среднее профессиональное образование,"Экономика, бухгалтерский учет и контроль"
