Дата,Приход.1,Уход.1,Длительность общая,Длительность раб.дня без обеда,Вых/Будни,id
"2021-03-01 00:00:00,000","1899-12-30 07:53:00,000","1899-12-30 17:32:00,000","9,65","8,65",Будни,ОРГ1-01201
"2021-03-01 00:00:00,000","1899-12-30 08:14:00,000","1899-12-30 17:32:00,000","9,2999999999999989","8,2999999999999989",Будни,ОРГ1-00657
"2021-03-01 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-02211
"2021-03-01 00:00:00,000","1899-12-30 08:24:00,000","1899-12-30 17:32:00,000","9,1333333333333329","8,1333333333333329",Будни,ОРГ1-02002
"2021-03-01 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-01510
"2021-03-01 00:00:00,000","1899-12-30 08:22:00,000","1899-12-30 17:32:00,000","9,1666666666666661","8,1666666666666661",Будни,ОРГ1-00795
"2021-03-01 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-00517
"2021-03-01 00:00:00,000","1899-12-30 07:25:00,000","1899-12-30 17:32:00,000","10,116666666666665","9,1166666666666654",Будни,ОРГ1-01654
"2021-03-01 00:00:00,000","1899-12-30 08:10:00,000","1899-12-30 17:32:00,000","9,3666666666666671","8,3666666666666671",Будни,ОРГ1-02620
"2021-03-01 00:00:00,000","1899-12-30 08:00:00,000","1899-12-30 17:32:00,000","9,5333333333333332","8,5333333333333332",Будни,ОРГ1-01432
"2021-03-01 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-00816
"2021-03-01 00:00:00,000","1899-12-30 08:22:00,000","1899-12-30 17:32:00,000","9,1666666666666661","8,1666666666666661",Будни,ОРГ1-00335
"2021-03-01 00:00:00,000","1899-12-30 08:38:00,000","1899-12-30 17:32:00,000","8,9","7,9",Будни,ОРГ1-02547
"2021-03-01 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-02869
"2021-03-01 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-01194
"2021-03-01 00:00:00,000","1899-12-30 08:01:00,000","1899-12-30 17:32:00,000","9,5166666666666657","8,5166666666666657",Будни,ОРГ1-02044
"2021-03-02 00:00:00,000","1899-12-30 08:29:00,000","1899-12-30 17:32:00,000","9,0499999999999989","8,0499999999999989",Будни,ОРГ1-02127
"2021-03-02 00:00:00,000","1899-12-30 07:59:00,000","1899-12-30 17:32:00,000","9,5499999999999989","8,5499999999999989",Будни,ОРГ1-00228
"2021-03-02 00:00:00,000","1899-12-30 08:05:00,000","1899-12-30 17:32:00,000","9,45","8,45",Будни,ОРГ1-01797
"2021-03-02 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-01739
"2021-03-02 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-01097
"2021-03-02 00:00:00,000","1899-12-30 08:04:00,000","1899-12-30 17:32:00,000","9,4666666666666668","8,4666666666666668",Будни,ОРГ1-01125
"2021-03-02 00:00:00,000","1899-12-30 08:32:00,000","1899-12-30 17:32:00,000",9,8,Будни,ОРГ1-00293
"2021-03-02 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-01034
"2021-03-02 00:00:00,000","1899-12-30 13:31:00,000","1899-12-30 17:32:00,000","4,0166666666666666","4,0166666666666666",Будни,ОРГ1-01305
"2021-03-02 00:00:00,000","1899-12-30 08:14:00,000","1899-12-30 17:32:00,000","9,2999999999999989","8,2999999999999989",Будни,ОРГ1-00701
"2021-03-02 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-00712
"2021-03-02 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-02549
"2021-03-02 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-02614
"2021-03-02 00:00:00,000","1899-12-30 08:02:00,000","1899-12-30 17:32:00,000","9,5","8,5",Будни,ОРГ1-00805
"2021-03-02 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-02046
"2021-03-02 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-00875
"2021-03-02 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-01288
"2021-03-02 00:00:00,000","1899-12-30 07:52:00,000","1899-12-30 17:32:00,000","9,6666666666666661","8,6666666666666661",Будни,ОРГ1-01201
"2021-03-02 00:00:00,000","1899-12-30 07:58:00,000","1899-12-30 17:32:00,000","9,5666666666666664","8,5666666666666664",Будни,ОРГ1-00831
"2021-03-02 00:00:00,000","1899-12-30 08:10:00,000","1899-12-30 17:32:00,000","9,3666666666666671","8,3666666666666671",Будни,ОРГ1-00941
"2021-03-02 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-02562
"2021-03-02 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-00779
"2021-03-02 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-02605
"2021-03-02 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-01623
"2021-03-02 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-02663
"2021-03-02 00:00:00,000","1899-12-30 08:42:00,000","1899-12-30 17:32:00,000","8,8333333333333321","7,8333333333333321",Будни,ОРГ1-02547
"2021-03-02 00:00:00,000","1899-12-30 07:47:00,000","1899-12-30 17:32:00,000","9,75","8,75",Будни,ОРГ1-01194
"2021-03-02 00:00:00,000","1899-12-30 13:19:00,000","1899-12-30 17:32:00,000","4,2166666666666668","4,2166666666666668",Будни,ОРГ1-00830
"2021-03-02 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-00759
"2021-03-02 00:00:00,000","1899-12-30 08:00:00,000","1899-12-30 17:32:00,000","9,5333333333333332","8,5333333333333332",Будни,ОРГ1-00275
"2021-03-03 00:00:00,000","1899-12-30 08:19:00,000","1899-12-30 17:32:00,000","9,2166666666666668","8,2166666666666668",Будни,ОРГ1-01826
"2021-03-03 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-00272
"2021-03-03 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-02127
"2021-03-03 00:00:00,000","1899-12-30 09:17:00,000","1899-12-30 17:32:00,000","8,25","7,25",Будни,ОРГ1-00228
"2021-03-03 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-00273
"2021-03-03 00:00:00,000","1899-12-30 08:12:00,000","1899-12-30 17:32:00,000","9,3333333333333321","8,3333333333333321",Будни,ОРГ1-01125
"2021-03-03 00:00:00,000","1899-12-30 08:11:00,000","1899-12-30 17:32:00,000","9,35","8,35",Будни,ОРГ1-00632
"2021-03-03 00:00:00,000","1899-12-30 08:23:00,000","1899-12-30 17:32:00,000","9,15","8,15",Будни,ОРГ1-00293
"2021-03-03 00:00:00,000","1899-12-30 11:26:00,000","1899-12-30 17:32:00,000","6,1","5,1",Будни,ОРГ1-00900
"2021-03-03 00:00:00,000","1899-12-30 08:22:00,000","1899-12-30 17:32:00,000","9,1666666666666661","8,1666666666666661",Будни,ОРГ1-01587
"2021-03-03 00:00:00,000","1899-12-30 08:34:00,000","1899-12-30 17:32:00,000","8,9666666666666668","7,9666666666666668",Будни,ОРГ1-02109
"2021-03-03 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-00712
"2021-03-03 00:00:00,000","1899-12-30 08:23:00,000","1899-12-30 17:32:00,000","9,15","8,15",Будни,ОРГ1-00840
"2021-03-03 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-02219
"2021-03-03 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-02105
"2021-03-03 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-00339
"2021-03-03 00:00:00,000","1899-12-30 08:02:00,000","1899-12-30 17:32:00,000","9,5","8,5",Будни,ОРГ1-00271
"2021-03-03 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-00850
"2021-03-03 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-01787
"2021-03-03 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-02046
"2021-03-03 00:00:00,000","1899-12-30 08:33:00,000","1899-12-30 17:32:00,000","8,9833333333333325","7,9833333333333325",Будни,ОРГ1-02194
"2021-03-03 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-00937
"2021-03-03 00:00:00,000","1899-12-30 08:14:00,000","1899-12-30 17:32:00,000","9,2999999999999989","8,2999999999999989",Будни,ОРГ1-01311
"2021-03-03 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-02598
"2021-03-03 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-01348
"2021-03-03 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-00831
"2021-03-03 00:00:00,000","1899-12-30 08:07:00,000","1899-12-30 17:32:00,000","9,4166666666666661","8,4166666666666661",Будни,ОРГ1-00657
"2021-03-03 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-00941
"2021-03-03 00:00:00,000","1899-12-30 08:12:00,000","1899-12-30 17:32:00,000","9,3333333333333321","8,3333333333333321",Будни,ОРГ1-00923
"2021-03-03 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-01843
"2021-03-03 00:00:00,000","1899-12-30 13:32:00,000","1899-12-30 17:32:00,000",4,4,Будни,ОРГ1-00148
"2021-03-03 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-01110
"2021-03-03 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-00779
"2021-03-03 00:00:00,000","1899-12-30 08:33:00,000","1899-12-30 17:32:00,000","8,9833333333333325","7,9833333333333325",Будни,ОРГ1-02605
"2021-03-03 00:00:00,000","1899-12-30 08:29:00,000","1899-12-30 17:32:00,000","9,0499999999999989","8,0499999999999989",Будни,ОРГ1-01623
"2021-03-03 00:00:00,000","1899-12-30 08:34:00,000","1899-12-30 17:32:00,000","8,9666666666666668","7,9666666666666668",Будни,ОРГ1-00467
"2021-03-03 00:00:00,000","1899-12-30 08:44:00,000","1899-12-30 17:32:00,000","8,7999999999999989","7,7999999999999989",Будни,ОРГ1-02547
"2021-03-03 00:00:00,000","1899-12-30 08:41:00,000","1899-12-30 17:32:00,000","8,85","7,85",Будни,ОРГ1-00967
"2021-03-03 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-01988
"2021-03-04 00:00:00,000","1899-12-30 08:22:00,000","1899-12-30 17:32:00,000","9,1666666666666661","8,1666666666666661",Будни,ОРГ1-00693
"2021-03-04 00:00:00,000","1899-12-30 08:02:00,000","1899-12-30 17:32:00,000","9,5","8,5",Будни,ОРГ1-00228
"2021-03-04 00:00:00,000","1899-12-30 08:06:00,000","1899-12-30 17:32:00,000","9,4333333333333336","8,4333333333333336",Будни,ОРГ1-01739
"2021-03-04 00:00:00,000","1899-12-30 08:06:00,000","1899-12-30 17:32:00,000","9,4333333333333336","8,4333333333333336",Будни,ОРГ1-01125
"2021-03-04 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-01281
"2021-03-04 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-00690
"2021-03-04 00:00:00,000","1899-12-30 07:50:00,000","1899-12-30 17:32:00,000","9,7","8,7",Будни,ОРГ1-00125
"2021-03-04 00:00:00,000","1899-12-30 08:08:00,000","1899-12-30 17:32:00,000","9,4","8,4",Будни,ОРГ1-02646
"2021-03-04 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-00900
"2021-03-04 00:00:00,000","1899-12-30 07:55:00,000","1899-12-30 17:32:00,000","9,6166666666666671","8,6166666666666671",Будни,ОРГ1-00701
"2021-03-04 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-01587
"2021-03-04 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-01456
"2021-03-04 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-01731
"2021-03-04 00:00:00,000","1899-12-30 08:04:00,000","1899-12-30 17:32:00,000","9,4666666666666668","8,4666666666666668",Будни,ОРГ1-00971
"2021-03-04 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-02126
"2021-03-04 00:00:00,000","1899-12-30 08:45:00,000","1899-12-30 17:32:00,000","8,7833333333333332","7,7833333333333332",Будни,ОРГ1-00271
"2021-03-04 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-00408
"2021-03-04 00:00:00,000","1899-12-30 08:35:00,000","1899-12-30 17:32:00,000","8,95","7,9499999999999993",Будни,ОРГ1-02657
"2021-03-04 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-02046
"2021-03-04 00:00:00,000","1899-12-30 08:33:00,000","1899-12-30 17:32:00,000","8,9833333333333325","7,9833333333333325",Будни,ОРГ1-00181
"2021-03-04 00:00:00,000","1899-12-30 08:31:00,000","1899-12-30 17:32:00,000","9,0166666666666657","8,0166666666666657",Будни,ОРГ1-01809
"2021-03-04 00:00:00,000","1899-12-30 08:28:00,000","1899-12-30 17:32:00,000","9,0666666666666664","8,0666666666666664",Будни,ОРГ1-00937
"2021-03-04 00:00:00,000","1899-12-30 08:07:00,000","1899-12-30 17:32:00,000","9,4166666666666661","8,4166666666666661",Будни,ОРГ1-02137
"2021-03-04 00:00:00,000","1899-12-30 07:57:00,000","1899-12-30 17:32:00,000","9,5833333333333321","8,5833333333333321",Будни,ОРГ1-00831
"2021-03-04 00:00:00,000","1899-12-30 08:08:00,000","1899-12-30 17:32:00,000","9,4","8,4",Будни,ОРГ1-00941
"2021-03-04 00:00:00,000","1899-12-30 08:05:00,000","1899-12-30 17:32:00,000","9,45","8,45",Будни,ОРГ1-00923
"2021-03-04 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-00648
"2021-03-04 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-01510
"2021-03-04 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-00795
"2021-03-04 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-01301
"2021-03-04 00:00:00,000","1899-12-30 07:28:00,000","1899-12-30 17:32:00,000","10,066666666666666","9,0666666666666664",Будни,ОРГ1-01654
"2021-03-04 00:00:00,000","1899-12-30 09:28:00,000","1899-12-30 17:32:00,000","8,0666666666666664","7,0666666666666664",Будни,ОРГ1-01889
"2021-03-04 00:00:00,000","1899-12-30 08:03:00,000","1899-12-30 17:32:00,000","9,4833333333333325","8,4833333333333325",Будни,ОРГ1-02663
"2021-03-04 00:00:00,000","1899-12-30 08:05:00,000","1899-12-30 17:32:00,000","9,45","8,45",Будни,ОРГ1-00499
"2021-03-05 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-01058
"2021-03-05 00:00:00,000","1899-12-30 08:05:00,000","1899-12-30 17:32:00,000","9,45","8,45",Будни,ОРГ1-00791
"2021-03-05 00:00:00,000","1899-12-30 08:30:00,000","1899-12-30 17:32:00,000","9,0333333333333332","8,0333333333333332",Будни,ОРГ1-00574
"2021-03-05 00:00:00,000","1899-12-30 08:19:00,000","1899-12-30 17:32:00,000","9,2166666666666668","8,2166666666666668",Будни,ОРГ1-00272
"2021-03-05 00:00:00,000","1899-12-30 08:18:00,000","1899-12-30 17:32:00,000","9,2333333333333325","8,2333333333333325",Будни,ОРГ1-00228
"2021-03-05 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-01947
"2021-03-05 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-01125
"2021-03-05 00:00:00,000","1899-12-30 08:07:00,000","1899-12-30 17:32:00,000","9,4166666666666661","8,4166666666666661",Будни,ОРГ1-00632
"2021-03-05 00:00:00,000","1899-12-30 08:12:00,000","1899-12-30 17:32:00,000","9,3333333333333321","8,3333333333333321",Будни,ОРГ1-00063
"2021-03-05 00:00:00,000","1899-12-30 07:53:00,000","1899-12-30 17:32:00,000","9,65","8,65",Будни,ОРГ1-00947
"2021-03-05 00:00:00,000","1899-12-30 08:08:00,000","1899-12-30 17:32:00,000","9,4","8,4",Будни,ОРГ1-02646
"2021-03-05 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-02006
"2021-03-05 00:00:00,000","1899-12-30 07:56:00,000","1899-12-30 17:32:00,000","9,6","8,6",Будни,ОРГ1-01731
"2021-03-05 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-02549
"2021-03-05 00:00:00,000","1899-12-30 08:11:00,000","1899-12-30 17:32:00,000","9,35","8,35",Будни,ОРГ1-02614
"2021-03-05 00:00:00,000","1899-12-30 08:13:00,000","1899-12-30 17:32:00,000","9,3166666666666664","8,3166666666666664",Будни,ОРГ1-02166
"2021-03-05 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-02657
"2021-03-05 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-01732
"2021-03-05 00:00:00,000","1899-12-30 08:20:00,000","1899-12-30 17:32:00,000","9,2","8,2",Будни,ОРГ1-01886
"2021-03-05 00:00:00,000","1899-12-30 08:25:00,000","1899-12-30 17:32:00,000","9,1166666666666671","8,1166666666666671",Будни,ОРГ1-00937
"2021-03-05 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-01794
"2021-03-05 00:00:00,000","1899-12-30 08:01:00,000","1899-12-30 17:32:00,000","9,5166666666666657","8,5166666666666657",Будни,ОРГ1-00781
"2021-03-05 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-00616
"2021-03-05 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-00148
"2021-03-05 00:00:00,000","1899-12-30 08:09:00,000","1899-12-30 17:32:00,000","9,3833333333333329","8,3833333333333329",Будни,ОРГ1-02065
"2021-03-05 00:00:00,000","1899-12-30 08:55:00,000","1899-12-30 17:32:00,000","8,6166666666666671","7,6166666666666671",Будни,ОРГ1-02620
"2021-03-05 00:00:00,000","1899-12-30 08:24:00,000","1899-12-30 17:32:00,000","9,1333333333333329","8,1333333333333329",Будни,ОРГ1-02605
"2021-03-05 00:00:00,000","1899-12-30 08:05:00,000","1899-12-30 17:32:00,000","9,45","8,45",Будни,ОРГ1-02663
"2021-03-05 00:00:00,000","1899-12-30 08:14:00,000","1899-12-30 17:32:00,000","9,2999999999999989","8,2999999999999989",Будни,ОРГ1-01573
"2021-03-05 00:00:00,000","1899-12-30 08:33:00,000","1899-12-30 17:32:00,000","8,9833333333333325","7,9833333333333325",Будни,ОРГ1-00967
"2021-03-05 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-00759
"2021-03-05 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-00652
"2021-03-09 00:00:00,000","1899-12-30 08:15:00,000","1899-12-30 17:32:00,000","9,2833333333333332","8,2833333333333332",Будни,ОРГ1-01457
"2021-03-09 00:00:00,000","1899-12-30 08:16:00,000","1899-12-30 17:32:00,000","9,2666666666666657","8,2666666666666657",Будни,ОРГ1-01826
"2021-03-09 00:00:00,000","1899-12-30 08:34:00,000","1899-12-30 17:32:00,000","8,9666666666666668","7,9666666666666668",Будни,ОРГ1-02639
"2021-03-09 00:00:00,000","1899-12-30 08:21:00,000","1899-12-30 17:32:00,000","9,1833333333333336","8,1833333333333336",Будни,ОРГ1-01101
"2021-03-09 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-00632
"2021-03-09 00:00:00,000","1899-12-30 10:09:00,000","1899-12-30 17:32:00,000","7,3833333333333329","6,3833333333333329",Будни,ОРГ1-01666
"2021-03-09 00:00:00,000","1899-12-30 08:19:00,000","1899-12-30 17:32:00,000","9,2166666666666668","8,2166666666666668",Будни,ОРГ1-02495
"2021-03-09 00:00:00,000","1899-12-30 08:17:00,000","1899-12-30 17:32:00,000","9,25","8,25",Будни,ОРГ1-00293
"2021-03-09 00:00:00,000","1899-12-30 08:12:00,000","1899-12-30 17:32:00,000","9,3333333333333321","8,3333333333333321",Будни,ОРГ1-01107
"2021-03-09 00:00:00,000","1899-12-30 08:02:00,000","1899-12-30 17:32:00,000","9,5","8,5",Будни,ОРГ1-00701
"2021-03-09 00:00:00,000","1899-12-30 08:26:00,000","1899-12-30 17:32:00,000","9,1","8,1",Будни,ОРГ1-01731
"2021-03-09 00:00:00,000","1899-12-30 08:27:00,000","1899-12-30 17:32:00,000","9,0833333333333321","8,0833333333333321",Будни,ОРГ1-00712
